epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5809,2.52808,2.98635,2.50068,0.63397,0.5818,0.62896,0.46703,2.29983,2.3569,2.21257,8.33e-06,8.33e-06,8.33e-06
2,37.4333,2.63719,2.82826,2.42339,0.67023,0.5832,0.6634,0.48885,2.27411,2.24755,2.19474,1.74966e-05,1.74966e-05,1.74966e-05
3,42.1004,2.68726,2.90996,2.49645,0.71954,0.58244,0.68182,0.50778,2.25157,2.2,2.18552,2.62861e-05,2.62861e-05,2.62861e-05
4,45.7234,2.57721,2.65669,2.41867,0.74049,0.59148,0.68963,0.52166,2.23543,2.15091,2.17682,3.46987e-05,3.46987e-05,3.46987e-05
5,49.6092,2.36918,2.59722,2.36332,0.7408,0.61904,0.69885,0.52758,2.22212,2.0952,2.16485,4.27343e-05,4.27343e-05,4.27343e-05
6,54.0098,2.38971,2.51275,2.39797,0.76,0.62056,0.71113,0.54134,2.21404,2.03323,2.15124,5.03929e-05,5.03929e-05,5.03929e-05
7,57.6871,2.44041,2.54953,2.34088,0.74043,0.66457,0.72192,0.54743,2.19307,1.97986,2.13638,5.76745e-05,5.76745e-05,5.76745e-05
8,61.3495,2.50696,2.52088,2.39094,0.76466,0.65137,0.73421,0.56097,2.15336,1.92775,2.12179,6.45792e-05,6.45792e-05,6.45792e-05
9,65.3462,2.33276,2.43046,2.33815,0.79972,0.6494,0.75148,0.57742,2.13181,1.8732,2.11068,7.11068e-05,7.11068e-05,7.11068e-05
10,69.3724,2.28663,2.29268,2.29062,0.80301,0.64794,0.75557,0.58267,2.12757,1.83629,2.10704,7.72574e-05,7.72574e-05,7.72574e-05
11,73.0175,2.39928,2.2771,2.31636,0.79993,0.66595,0.76893,0.59566,2.11969,1.76258,2.09795,8.30311e-05,8.30311e-05,8.30311e-05
12,76.7972,2.39713,2.34862,2.32197,0.78805,0.68852,0.77637,0.60383,2.09959,1.71433,2.0861,8.84277e-05,8.84277e-05,8.84277e-05
13,81.3716,2.24242,2.17941,2.29972,0.81614,0.68432,0.78239,0.60529,2.07952,1.67999,2.07156,9.07256e-05,9.07256e-05,9.07256e-05
14,84.9016,2.21246,2.17765,2.31548,0.82668,0.70268,0.79554,0.62452,2.05705,1.64117,2.05826,8.83694e-05,8.83694e-05,8.83694e-05
15,88.5598,2.3227,2.12105,2.29964,0.82157,0.70605,0.80035,0.63061,2.04878,1.60801,2.0528,8.60132e-05,8.60132e-05,8.60132e-05
16,93.0715,2.22175,2.11697,2.25954,0.84975,0.71197,0.80676,0.63578,2.03613,1.58703,2.04977,8.3657e-05,8.3657e-05,8.3657e-05
17,96.6427,2.20778,2.01403,2.19879,0.84221,0.71423,0.8073,0.64029,2.02732,1.56842,2.04461,8.13008e-05,8.13008e-05,8.13008e-05
18,100.245,2.30452,2.04236,2.21769,0.81473,0.74978,0.81569,0.64207,2.01532,1.54221,2.0383,7.89446e-05,7.89446e-05,7.89446e-05
19,104.221,2.28609,2.04535,2.23874,0.83174,0.73657,0.81819,0.65027,1.99636,1.53452,2.02893,7.65884e-05,7.65884e-05,7.65884e-05
20,108.345,2.19869,2.01336,2.20287,0.86077,0.73186,0.82337,0.65509,1.98839,1.5193,2.02499,7.42322e-05,7.42322e-05,7.42322e-05
21,111.968,2.17313,1.91504,2.22905,0.86859,0.73996,0.82979,0.65842,1.98314,1.49658,2.01907,7.1876e-05,7.1876e-05,7.1876e-05
22,115.69,2.23915,2.03413,2.20216,0.84243,0.75606,0.83278,0.65925,1.9721,1.47352,2.01173,6.95198e-05,6.95198e-05,6.95198e-05
23,120.12,2.1333,1.99433,2.22945,0.86588,0.74172,0.83182,0.66066,1.96569,1.46299,2.01008,6.71636e-05,6.71636e-05,6.71636e-05
24,123.777,2.1888,1.95279,2.23391,0.86738,0.73758,0.83358,0.66254,1.94693,1.4495,2.00263,6.48074e-05,6.48074e-05,6.48074e-05
25,127.388,2.21417,1.94978,2.19247,0.83403,0.757,0.83113,0.66061,1.9341,1.43427,1.99831,6.24512e-05,6.24512e-05,6.24512e-05
26,131.985,2.14817,1.89535,2.1634,0.82816,0.76397,0.83596,0.66653,1.92662,1.41969,1.99198,6.0095e-05,6.0095e-05,6.0095e-05
27,135.576,2.12626,1.88037,2.17044,0.83622,0.77203,0.83976,0.67234,1.90962,1.39335,1.98609,5.77388e-05,5.77388e-05,5.77388e-05
28,139.306,2.12923,1.88996,2.19695,0.84847,0.76566,0.84159,0.67453,1.89724,1.3724,1.97978,5.53826e-05,5.53826e-05,5.53826e-05
29,143.7,2.07851,1.78447,2.13307,0.88206,0.74775,0.84265,0.67537,1.88664,1.3571,1.973,5.30264e-05,5.30264e-05,5.30264e-05
30,147.5,2.25127,1.88914,2.19882,0.88039,0.75358,0.84344,0.67995,1.87315,1.35788,1.96442,5.06702e-05,5.06702e-05,5.06702e-05
31,151.087,2.16012,1.81024,2.15745,0.84557,0.77174,0.84413,0.67854,1.87146,1.34642,1.95715,4.8314e-05,4.8314e-05,4.8314e-05
32,155.013,1.95157,1.75137,2.14798,0.85263,0.76495,0.84579,0.68367,1.85307,1.33849,1.94883,4.59578e-05,4.59578e-05,4.59578e-05
33,159.367,2.1971,1.82814,2.14429,0.87647,0.74991,0.84554,0.68307,1.8421,1.32088,1.94252,4.36016e-05,4.36016e-05,4.36016e-05
34,162.965,2.04857,1.7684,2.16929,0.85858,0.75792,0.84504,0.68479,1.83505,1.30617,1.93836,4.12454e-05,4.12454e-05,4.12454e-05
35,166.6,2.1511,1.79615,2.13052,0.83721,0.7765,0.84639,0.68782,1.8199,1.30607,1.93405,3.88892e-05,3.88892e-05,3.88892e-05
36,171.224,2.12085,1.77752,2.12524,0.85958,0.77552,0.85053,0.69366,1.80621,1.29049,1.92987,3.6533e-05,3.6533e-05,3.6533e-05
37,174.968,2.05774,1.79384,2.16679,0.88086,0.76193,0.85195,0.69391,1.79522,1.28251,1.92628,3.41768e-05,3.41768e-05,3.41768e-05
38,178.569,2.01445,1.69672,2.09441,0.90006,0.75032,0.85201,0.69378,1.78625,1.27499,1.91997,3.18206e-05,3.18206e-05,3.18206e-05
39,183.061,2.04099,1.67485,2.12473,0.84747,0.77556,0.85405,0.69534,1.77948,1.26523,1.91716,2.94644e-05,2.94644e-05,2.94644e-05
40,186.704,1.99233,1.68186,2.1193,0.89726,0.75987,0.85482,0.69775,1.77107,1.26698,1.91446,2.71082e-05,2.71082e-05,2.71082e-05
41,192.139,1.98272,1.59857,2.04233,0.90825,0.75001,0.85095,0.69404,1.7702,1.27158,1.91082,2.4752e-05,2.4752e-05,2.4752e-05
42,196.669,2.06465,1.6089,2.05655,0.87441,0.76375,0.85213,0.69438,1.77907,1.27773,1.91013,2.23958e-05,2.23958e-05,2.23958e-05
43,200.22,1.98328,1.56745,2.03545,0.8843,0.75919,0.85672,0.69319,1.7862,1.27604,1.91017,2.00396e-05,2.00396e-05,2.00396e-05
44,203.697,2.03234,1.63273,2.0893,0.86395,0.7672,0.8634,0.69524,1.79176,1.27273,1.91168,1.76834e-05,1.76834e-05,1.76834e-05
45,208.485,1.92451,1.48078,1.98154,0.8694,0.76453,0.85298,0.69551,1.79339,1.28192,1.91451,1.53272e-05,1.53272e-05,1.53272e-05
46,212.831,2.0751,1.70554,2.07391,0.84462,0.77762,0.84913,0.69221,1.7972,1.27789,1.91474,1.2971e-05,1.2971e-05,1.2971e-05
47,216.422,1.94934,1.54794,2.03706,0.90463,0.72698,0.84712,0.69015,1.79904,1.2827,1.91457,1.06148e-05,1.06148e-05,1.06148e-05
48,220.126,1.93496,1.54697,2.02141,0.84071,0.7698,0.84633,0.68784,1.79842,1.28655,1.91421,8.2586e-06,8.2586e-06,8.2586e-06
49,224.413,2.00411,1.50159,2.02558,0.83695,0.76818,0.84509,0.6886,1.80268,1.28601,1.91499,5.9024e-06,5.9024e-06,5.9024e-06
50,227.914,1.91797,1.46821,2.04726,0.87455,0.75624,0.84702,0.68997,1.80108,1.28723,1.9139,3.5462e-06,3.5462e-06,3.5462e-06
